Area code;Donor;Project Code;Session No;legal or protection;Oblast;Raion;Hromada;Location name;Date;Topic;Language;Facilitator;Settlement type;Gender;Age;Status;Delivered;Comments
CHJ - Chernihiv;ECHO;UKR-000269;7;Protection;Chernihivska;Prylutskyi;Ichnianska;"	Ichnia";23.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;36;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;7;Protection;Chernihivska;Prylutskyi;Ichnianska;"	Ichnia";23.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;38;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;7;Protection;Chernihivska;Prylutskyi;Ichnianska;"	Ichnia";23.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;30;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;8;Protection;Chernihivska;Koriukivskyi;Snovska;Snovsk;29.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Male;65;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;8;Protection;Chernihivska;Koriukivskyi;Snovska;Snovsk;29.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;62;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;8;Protection;Chernihivska;Koriukivskyi;Snovska;Snovsk;29.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;70;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;8;Protection;Chernihivska;Koriukivskyi;Snovska;Snovsk;29.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;38;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;8;Protection;Chernihivska;Koriukivskyi;Snovska;Snovsk;29.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;60;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;8;Protection;Chernihivska;Koriukivskyi;Snovska;Snovsk;29.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;49;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;8;Protection;Chernihivska;Koriukivskyi;Snovska;Snovsk;29.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;45;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;9;Protection;Chernihivska;Prylutskyi;Ichnianska;Ichnia;07.04.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;41;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;9;Protection;Chernihivska;Prylutskyi;Ichnianska;Ichnia;07.04.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;38;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;9;Protection;Chernihivska;Prylutskyi;Ichnianska;Ichnia;07.04.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;47;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;9;Protection;Chernihivska;Prylutskyi;Ichnianska;Ichnia;07.04.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Male;32;Host community;YES;
CHJ - Chernihiv;ECHO;UKR-000269;9;Protection;Chernihivska;Prylutskyi;Ichnianska;Ichnia;07.04.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;33;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;9;Protection;Chernihivska;Prylutskyi;Ichnianska;Ichnia;07.04.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;56;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;9;Protection;Chernihivska;Prylutskyi;Ichnianska;Ichnia;07.04.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;34;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;9;Protection;Chernihivska;Prylutskyi;Ichnianska;Ichnia;07.04.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;61;IDP;YES;
