_ID;Project ;Payment Done;Amount
438167350;UKR-000270;Yes;33 300
438167884;UKR-000270;Yes;19 980
438168148;UKR-000298;Yes;6 660
438168223;UKR-000270;Yes;6 660
438168679;UKR-000270;Yes;13 320
438168908;UKR-000270;Yes;19 980
438169281;UKR-000298;Yes;13 320
438169284;UKR-000298;Yes;13 320
438169655;UKR-000270;Yes;13 320
438169832;UKR-000270;Yes;6 660
438170237;UKR-000298;Yes;13 320
438170489;UKR-000298;Yes;6 660
438170695;UKR-000270;Yes;19 980
438171049;UKR-000298;Yes;13 320
438171404;UKR-000298;Yes;6 660
438171653;UKR-000270;Yes;26 640
438171683;UKR-000270;Yes;39 960
438171708;UKR-000270;Yes;13 320
438173008;UKR-000298;Yes;6 660
438173255;UKR-000270;Yes;19 980
